sigma,img_idx,label,pred,abstain,radius
0.120000,8150,9,9,0,0.384214
0.120000,8200,6,6,0,0.384214
0.120000,8250,9,9,0,0.384214
0.120000,8300,8,8,0,0.384214
0.120000,8350,7,7,0,0.384214
0.120000,8400,4,4,0,0.384214
0.120000,8450,2,2,0,0.384214
0.120000,8500,4,4,0,0.384214
0.120000,8550,2,2,0,0.384214
0.120000,8600,1,1,0,0.384214
0.120000,8650,1,1,0,0.384214
0.120000,8700,9,9,0,0.384214
0.120000,8750,9,9,0,0.384214
0.120000,8800,2,2,0,0.384214
0.120000,8850,1,1,0,0.384214
0.120000,8900,9,9,0,0.384214
0.120000,8950,2,2,0,0.384214
0.120000,9000,7,7,0,0.384214
0.120000,9050,6,6,0,0.384214
0.120000,9100,3,3,0,0.384214
0.120000,9150,8,8,0,0.384214
0.120000,9200,1,1,0,0.384214
0.120000,9250,9,9,0,0.384214
0.120000,9300,7,7,0,0.384214
0.120000,9350,4,4,0,0.384214
0.120000,9400,5,5,0,0.384214
0.120000,9450,8,8,0,0.374070
0.120000,9500,2,2,0,0.226312
0.120000,9550,4,4,0,0.384214
0.120000,9600,5,5,0,0.384214
0.120000,9650,7,7,0,0.384214
0.120000,9700,2,2,0,0.077351
0.120000,9750,3,3,0,0.384214
0.120000,9800,0,0,0,0.384214
0.120000,9850,0,0,0,0.384214
0.120000,9900,8,8,0,0.384214
0.120000,9950,1,1,0,0.384214
0.250000,0,7,7,0,0.800447
0.250000,50,6,6,0,0.779312
0.250000,100,6,6,0,0.800447
0.250000,150,9,9,0,0.800447
0.250000,200,3,3,0,0.800447
0.250000,250,4,4,0,0.705542
0.250000,300,4,4,0,0.580663
0.250000,350,1,1,0,0.800447
0.250000,400,2,2,0,0.764780
0.250000,450,3,3,0,0.743891
0.250000,500,3,3,0,0.800447
0.250000,550,7,7,0,0.586238
0.250000,600,6,6,0,0.800447
0.250000,650,6,6,0,0.561965
0.250000,700,1,1,0,0.800447
0.250000,750,0,0,0,0.800447
0.250000,800,8,8,0,0.540922
0.250000,850,1,1,0,0.800447
0.250000,900,1,1,0,0.168834
0.250000,950,7,7,0,0.432639
0.250000,1000,9,9,0,0.649911
0.250000,1050,2,2,0,0.615640
0.250000,1100,7,7,0,0.800447
0.250000,1150,3,3,0,0.753384
0.250000,1200,8,8,0,0.244515
0.250000,1250,6,6,0,0.657267
0.250000,1300,4,4,0,0.800447
0.250000,1350,1,1,0,0.800447
0.250000,1400,6,6,0,0.800447
0.250000,1450,6,6,0,0.800447
0.250000,1500,7,1,0,0.577466
0.250000,1550,5,5,0,0.800447
0.250000,1600,3,3,0,0.426802
0.250000,1650,0,0,0,0.800447
0.250000,1700,0,0,0,0.800447
0.250000,1750,7,7,0,0.779312
0.250000,1800,6,6,1,0.000000
0.250000,1850,8,7,0,0.028563
0.250000,1900,1,1,0,0.800447
0.250000,1950,7,7,0,0.800447
0.250000,2000,6,6,0,0.800447
0.250000,2050,8,8,0,0.800447
0.250000,2100,5,5,0,0.800447
0.250000,2150,6,6,0,0.800447
0.250000,2200,2,2,0,0.522124
0.250000,2250,9,9,0,0.800447
0.250000,2300,3,3,0,0.800447
0.250000,2350,2,2,0,0.800447
0.250000,2400,5,5,0,0.665361
0.250000,2450,3,3,0,0.553360
0.250000,2500,2,2,0,0.710587
0.250000,2550,8,8,0,0.513232
0.250000,2600,8,8,0,0.800447
0.250000,2650,8,8,0,0.602469
0.250000,2700,7,7,0,0.710587
0.250000,2750,6,6,0,0.485040
0.250000,2800,8,8,0,0.716031
0.250000,2850,5,5,0,0.800447
0.250000,2900,4,4,0,0.800447
0.250000,2950,1,1,0,0.800447
0.250000,3000,6,6,0,0.580663
0.250000,3050,1,1,0,0.800447
0.250000,3100,5,5,0,0.728459
0.250000,3150,3,3,0,0.800447
0.250000,3200,9,9,0,0.800447
0.250000,3250,2,2,0,0.696423
0.250000,3300,3,3,0,0.800447
0.250000,3350,6,6,0,0.779312
0.250000,3400,7,7,0,0.800447
0.250000,3450,0,0,0,0.700837
0.250000,3500,4,4,0,0.800447
0.250000,3550,6,6,0,0.050817
0.250000,3600,2,2,0,0.800447
0.250000,3650,0,0,0,0.800447
0.250000,3700,4,4,0,0.800447
0.250000,3750,5,5,0,0.800447
0.250000,3800,6,6,0,0.594630
0.250000,3850,9,9,0,0.149832
0.250000,3900,1,1,0,0.779312
0.250000,3950,9,9,0,0.460723
0.250000,4000,9,9,0,0.086027
0.250000,4050,1,1,0,0.800447
0.250000,4100,2,2,0,0.716031
0.250000,4150,0,0,0,0.800447
0.250000,4200,7,7,0,0.800447
0.250000,4250,2,2,0,0.800447
0.250000,4300,5,5,0,0.429107
0.250000,4350,2,2,0,0.195551
0.250000,4400,7,7,0,0.197189
0.250000,4450,1,1,0,0.800447
0.250000,4500,9,1,0,0.124464
0.250000,4550,9,9,0,0.800447
0.250000,4600,3,3,0,0.800447
0.250000,4650,0,0,0,0.800447
0.250000,4700,9,9,0,0.800447
0.250000,4750,8,8,0,0.721953
0.250000,4800,7,7,0,0.800447
0.250000,4850,8,8,0,0.800447
0.250000,4900,7,7,0,0.684591
0.250000,4950,2,2,0,0.027750
0.250000,5000,3,3,0,0.800447
0.250000,5050,9,9,0,0.800447
0.250000,5100,9,9,0,0.659875
0.250000,5150,3,3,0,0.800447
0.250000,5200,4,4,0,0.743891
0.250000,5250,2,2,0,0.649911
0.250000,5300,8,8,0,0.800447
0.250000,5350,1,1,0,0.800447
0.250000,5400,5,5,0,0.800447
0.250000,5450,0,0,0,0.283986
0.250000,5500,4,4,0,0.800447
0.250000,5550,1,1,0,0.800447
0.250000,5600,7,9,0,0.103924
0.250000,5650,8,8,0,0.800447
0.250000,5700,3,3,0,0.800447
0.250000,5750,0,0,0,0.800447
0.250000,5800,9,9,0,0.779312
0.250000,5850,3,3,0,0.800447
0.250000,5900,4,4,0,0.800447
0.250000,5950,8,8,0,0.692264
0.250000,6000,9,9,0,0.705542
0.250000,6050,7,7,0,0.800447
0.250000,6100,4,4,0,0.800447
0.250000,6150,8,8,0,0.800447
0.250000,6200,9,9,0,0.800447
0.250000,6250,0,0,0,0.800447
0.250000,6300,4,4,0,0.800447
0.250000,6350,6,6,0,0.800447
0.250000,6400,0,0,0,0.385576
0.250000,6450,8,8,0,0.800447
0.250000,6500,5,5,0,0.800447
0.250000,6550,6,6,0,0.800447
0.250000,6600,5,5,0,0.779312
0.250000,6650,9,9,0,0.590942
0.250000,6700,4,4,0,0.700837
0.250000,6750,0,0,0,0.800447
0.250000,6800,2,2,0,0.800447
0.250000,6850,8,8,0,0.721953
0.250000,6900,6,6,0,0.800447
0.250000,6950,3,3,0,0.800447
0.250000,7000,1,1,0,0.800447
0.250000,7050,6,6,0,0.800447
0.250000,7100,2,2,0,0.753384
0.250000,7150,1,1,0,0.800447
0.250000,7200,8,8,0,0.800447
0.250000,7250,3,3,0,0.800447
0.250000,7300,7,7,0,0.800447
0.250000,7350,3,3,0,0.594630
0.250000,7400,2,2,0,0.800447
0.250000,7450,8,8,0,0.800447
0.250000,7500,8,8,0,0.800447
0.250000,7550,4,4,0,0.800447
0.250000,7600,1,1,0,0.800447
0.250000,7650,7,7,0,0.800447
0.250000,7700,9,9,0,0.753384
0.250000,7750,3,3,0,0.800447
0.250000,7800,3,3,0,0.415022
0.250000,7850,5,5,0,0.800447
0.250000,7900,1,1,0,0.779312
0.250000,7950,7,7,0,0.800447
0.250000,8000,4,4,0,0.800447
0.250000,8050,3,3,0,0.800447
0.250000,8100,1,1,0,0.800447
0.250000,8150,9,9,0,0.743891
0.250000,8200,6,6,0,0.800447
0.250000,8250,9,9,0,0.800447
0.250000,8300,8,8,0,0.800447
0.250000,8350,7,7,0,0.800447
0.250000,8400,4,4,0,0.800447
0.250000,8450,2,2,0,0.800447
0.250000,8500,4,4,0,0.800447
0.250000,8550,2,2,0,0.800447
0.250000,8600,1,1,0,0.800447
0.250000,8650,1,1,0,0.800447
0.250000,8700,9,9,0,0.800447
0.250000,8750,9,9,0,0.779312
0.250000,8800,2,2,0,0.800447
0.250000,8850,1,1,0,0.800447
0.250000,8900,9,9,0,0.800447
0.250000,8950,2,2,0,0.800447
0.250000,9000,7,7,0,0.800447
0.250000,9050,6,6,0,0.764780
0.250000,9100,3,3,0,0.800447
0.250000,9150,8,8,0,0.800447
0.250000,9200,1,1,0,0.800447
0.250000,9250,9,9,0,0.800447
0.250000,9300,7,7,0,0.800447
0.250000,9350,4,4,0,0.800447
0.250000,9400,5,5,0,0.800447
0.250000,9450,8,8,0,0.586238
0.250000,9500,2,2,0,0.296076
0.250000,9550,4,4,0,0.800447
0.250000,9600,5,5,0,0.800447
0.250000,9650,7,7,0,0.800447
0.250000,9700,2,2,0,0.055534
0.250000,9750,3,3,0,0.800447
0.250000,9800,0,0,0,0.735698
0.250000,9850,0,0,0,0.779312
0.250000,9900,8,8,0,0.800447
0.250000,9950,1,1,0,0.800447
0.500000,0,7,7,0,1.600893
0.500000,50,6,6,0,1.131242
0.500000,100,6,6,0,1.133112
0.500000,150,9,9,0,1.177122
0.500000,200,3,3,0,1.290696
0.500000,250,4,4,0,0.546493
0.500000,300,4,4,0,0.281924
0.500000,350,1,1,0,1.487782
0.500000,400,2,2,0,0.957848
0.500000,450,3,3,0,0.533415
0.500000,500,3,3,0,1.600893
0.500000,550,7,7,0,0.509625
0.500000,600,6,6,0,1.558623
0.500000,650,6,6,0,0.687289
0.500000,700,1,1,0,1.487782
0.500000,750,0,0,0,1.411085
0.500000,800,8,8,0,0.292760
0.500000,850,1,1,0,1.600893
0.500000,900,1,1,0,0.392479
0.500000,950,7,7,0,0.189014
0.500000,1000,9,9,0,0.825868
0.500000,1050,2,2,0,0.230901
0.500000,1100,7,7,0,1.600893
0.500000,1150,3,3,0,0.962146
0.500000,1200,8,8,1,0.000000
0.500000,1250,6,6,0,0.544171
0.500000,1300,4,4,0,1.199564
0.500000,1350,1,1,0,1.600893
0.500000,1400,6,6,0,1.506768
0.500000,1450,6,6,0,1.421174
0.500000,1500,7,1,0,0.938199
0.500000,1550,5,5,0,1.314534
0.500000,1600,3,3,0,0.460048
0.500000,1650,0,0,0,1.600893
0.500000,1700,0,0,0,1.090831
0.500000,1750,7,7,0,0.751910
0.500000,1800,6,4,1,0.000000
0.500000,1850,8,7,0,0.034913
0.500000,1900,1,1,0,1.384527
0.500000,1950,7,7,0,1.529560
0.500000,2000,6,6,0,1.023070
0.500000,2050,8,8,0,1.401673
0.500000,2100,5,5,0,1.265964
0.500000,2150,6,6,0,1.471397
0.500000,2200,2,2,0,0.122216
0.500000,2250,9,9,0,1.019726
0.500000,2300,3,3,0,1.265964
0.500000,2350,2,2,0,1.174785
0.500000,2400,5,5,0,0.938987
0.500000,2450,3,3,0,0.519608
0.500000,2500,2,2,0,0.645101
0.500000,2550,8,8,0,0.692339
0.500000,2600,8,8,0,1.600893
0.500000,2650,8,8,0,0.516765
0.500000,2700,7,7,0,1.127553
0.500000,2750,6,6,0,0.563831
0.500000,2800,8,8,0,0.922924
0.500000,2850,5,5,0,1.053057
0.500000,2900,4,4,0,1.314534
0.500000,2950,1,1,0,1.600893
0.500000,3000,6,6,0,0.711516
0.500000,3050,1,1,0,1.600893
0.500000,3100,5,5,0,0.797261
0.500000,3150,3,3,0,0.775061
0.500000,3200,9,9,0,1.558623
0.500000,3250,2,2,0,0.434070
0.500000,3300,3,3,0,0.881869
0.500000,3350,6,6,0,1.122142
0.500000,3400,7,7,0,1.600893
0.500000,3450,0,0,0,0.655044
0.500000,3500,4,4,0,1.487782
0.500000,3550,6,6,0,0.038151
0.500000,3600,2,2,0,1.186769
0.500000,3650,0,0,0,1.600893
0.500000,3700,4,4,0,1.148739
0.500000,3750,5,5,0,1.154932
0.500000,3800,6,6,0,0.464929
0.500000,3850,9,9,0,0.164381
0.500000,3900,1,1,0,1.355265
0.500000,3950,9,9,0,0.465910
0.500000,4000,9,9,1,0.000000
0.500000,4050,1,1,0,1.247768
0.500000,4100,2,2,0,0.874369
0.500000,4150,0,0,0,1.600893
0.500000,4200,7,7,0,1.600893
0.500000,4250,2,2,0,1.443905
0.500000,4300,5,5,0,0.106729
0.500000,4350,2,2,0,0.234817
0.500000,4400,7,7,0,0.213600
0.500000,4450,1,1,0,1.600893
0.500000,4500,9,1,0,0.389556
0.500000,4550,9,9,0,1.471397
0.500000,4600,3,3,0,1.600893
0.500000,4650,0,0,0,1.600893
0.500000,4700,9,9,0,1.116872
0.500000,4750,8,8,0,0.982018
0.500000,4800,7,7,0,1.600893
0.500000,4850,8,8,0,1.127553
0.500000,4900,7,7,0,0.761802
0.500000,4950,2,3,1,0.000000
0.500000,5000,3,3,0,1.299821
0.500000,5050,9,9,0,1.050504
0.500000,5100,9,9,0,0.752316
0.500000,5150,3,3,0,1.600893
0.500000,5200,4,4,0,0.870089
0.500000,5250,2,2,0,0.828994
0.500000,5300,8,8,0,1.443905
0.500000,5350,1,1,0,1.558623
0.500000,5400,5,5,0,1.558623
0.500000,5450,0,0,0,0.199275
0.500000,5500,4,4,0,1.600893
0.500000,5550,1,1,0,1.600893
0.500000,5600,7,9,0,0.273121
0.500000,5650,8,8,0,1.529560
0.500000,5700,3,3,0,1.471397
0.500000,5750,0,0,0,1.600893
0.500000,5800,9,9,0,1.007864
0.500000,5850,3,3,0,1.443905
0.500000,5900,4,4,0,1.432062
0.500000,5950,8,8,0,0.956150
0.500000,6000,9,9,0,0.734148
0.500000,6050,7,7,0,1.336505
0.500000,6100,4,4,0,1.600893
0.500000,6150,8,8,0,1.179488
0.500000,6200,9,9,0,1.282044
0.500000,6250,0,0,0,1.443905
0.500000,6300,4,4,0,0.982018
0.500000,6350,6,6,0,1.558623
0.500000,6400,0,0,0,0.484727
0.500000,6450,8,8,0,1.600893
0.500000,6500,5,5,0,1.600893
0.500000,6550,6,6,0,1.600893
0.500000,6600,5,5,0,1.110049
0.500000,6650,9,9,0,0.678380
0.500000,6700,4,4,0,0.733765
0.500000,6750,0,0,0,1.600893
0.500000,6800,2,2,0,1.392846
0.500000,6850,8,8,0,1.064929
0.500000,6900,6,6,0,1.194341
0.500000,6950,3,3,0,1.309481
0.500000,7000,1,1,0,1.487782
0.500000,7050,6,6,0,1.290696
0.500000,7100,2,2,0,1.157040
0.500000,7150,1,1,0,1.600893
0.500000,7200,8,8,0,1.210473
0.500000,7250,3,3,0,1.600893
0.500000,7300,7,7,0,1.421174
0.500000,7350,3,3,0,0.548360
0.500000,7400,2,2,0,1.199564
0.500000,7450,8,8,0,1.600893
0.500000,7500,8,8,0,1.231279
0.500000,7550,4,4,0,1.558623
0.500000,7600,1,1,0,1.558623
0.500000,7650,7,7,0,1.558623
0.500000,7700,9,9,0,0.984860
0.500000,7750,3,3,0,1.600893
0.500000,7800,3,3,0,0.563589
0.500000,7850,5,5,0,1.231279
0.500000,7900,1,1,0,0.966521
0.500000,7950,7,7,0,1.471397
0.500000,8000,4,4,0,1.600893
0.500000,8050,3,3,0,1.487782
0.500000,8100,1,1,0,1.558623
0.500000,8150,9,9,0,1.154932
0.500000,8200,6,6,0,1.529560
0.500000,8250,9,9,0,1.558623
0.500000,8300,8,8,0,1.600893
0.500000,8350,7,7,0,1.506768
0.500000,8400,4,4,0,1.384527
0.500000,8450,2,2,0,1.558623
0.500000,8500,4,4,0,1.600893
0.500000,8550,2,2,0,1.600893
0.500000,8600,1,1,0,1.600893
0.500000,8650,1,1,0,1.558623
0.500000,8700,9,9,0,1.314534
0.500000,8750,9,9,0,1.376656
0.500000,8800,2,2,0,1.600893
0.500000,8850,1,1,0,1.600893
0.500000,8900,9,9,0,1.600893
0.500000,8950,2,2,0,1.558623
0.500000,9000,7,7,0,1.529560
0.500000,9050,6,6,0,1.222069
0.500000,9100,3,3,0,1.558623
0.500000,9150,8,8,0,1.325142
0.500000,9200,1,1,0,1.600893
0.500000,9250,9,9,0,1.600893
0.500000,9300,7,7,0,1.600893
0.500000,9350,4,4,0,0.928166
0.500000,9400,5,5,0,1.213304
0.500000,9450,8,8,0,0.886988
0.500000,9500,2,2,0,0.688965
0.500000,9550,4,4,0,1.456917
0.500000,9600,5,5,0,1.456917
0.500000,9650,7,7,0,1.411085
0.500000,9700,2,2,0,0.072806
0.500000,9750,3,3,0,1.443905
0.500000,9800,0,0,0,1.084798
0.500000,9850,0,0,0,1.136906
0.500000,9900,8,8,0,1.237693
0.500000,9950,1,1,0,1.529560
