sigma,img_idx,label,pred,abstain,radius
0.250000,3000,5,5,0,0.647598
0.250000,3050,0,0,0,0.217869
0.250000,3100,0,2,1,0.000000
0.250000,3150,1,9,0,0.593384
0.250000,3200,5,7,0,0.442528
0.250000,3250,2,6,0,0.267955
0.250000,3300,4,4,0,0.198315
0.250000,3350,8,8,0,0.710587
0.250000,3400,6,4,0,0.090621
0.250000,3450,9,1,0,0.163874
0.250000,3500,1,1,0,0.050308
0.250000,3550,0,6,0,0.219359
0.250000,3600,4,2,0,0.042831
0.250000,3650,0,0,0,0.674378
0.250000,3700,3,5,0,0.064262
0.250000,3750,9,8,0,0.103583
0.250000,3800,9,9,0,0.764780
0.250000,3850,9,9,0,0.716031
0.250000,3900,3,3,0,0.217591
0.250000,3950,8,8,0,0.764780
0.250000,4000,8,9,0,0.249924
0.250000,4050,3,2,0,0.238518
0.250000,4100,7,7,0,0.800447
0.250000,4150,6,6,0,0.800447
0.250000,4200,4,4,0,0.304553
0.250000,4250,1,9,0,0.078506
0.250000,4300,8,8,0,0.800447
0.250000,4350,4,4,0,0.547736
0.250000,4400,3,6,0,0.283131
0.250000,4450,0,8,1,0.000000
0.250000,4500,3,6,0,0.540191
0.250000,4550,9,3,0,0.228861
0.250000,4600,4,4,0,0.182004
0.250000,4650,6,6,0,0.348045
0.250000,4700,6,2,1,0.000000
0.250000,4750,7,2,1,0.000000
0.250000,4800,9,9,0,0.800447
0.250000,4850,1,9,0,0.078309
0.250000,4900,3,9,1,0.000000
0.250000,4950,2,2,0,0.800447
0.250000,5000,7,7,0,0.800447
0.250000,5050,3,6,0,0.083577
0.250000,5100,3,3,0,0.743891
0.250000,5150,4,6,0,0.247933
0.250000,5200,3,3,0,0.696423
0.250000,5250,7,7,0,0.410876
0.250000,5300,9,9,0,0.721953
0.250000,5350,9,9,0,0.662571
0.250000,5400,9,9,0,0.170264
0.250000,5450,5,3,0,0.700837
0.250000,5500,8,8,1,0.000000
0.250000,5550,5,7,1,0.000000
0.250000,5600,6,6,0,0.138242
0.250000,5650,5,7,0,0.700837
0.250000,5700,3,3,0,0.106182
0.250000,5750,6,6,0,0.004349
0.250000,5800,2,2,1,0.000000
0.250000,5850,6,2,0,0.355758
0.250000,5900,4,2,0,0.322550
0.250000,5950,9,9,0,0.127744
0.250000,6000,8,8,1,0.000000
0.250000,6050,2,6,0,0.240636
0.250000,6100,1,1,0,0.335481
0.250000,6150,1,9,0,0.331380
0.250000,6200,3,9,0,0.033200
0.250000,6250,4,4,0,0.005155
0.250000,6300,1,9,0,0.106045
0.250000,6350,0,0,0,0.688328
0.250000,6400,0,1,0,0.382162
0.250000,6450,0,0,0,0.657267
0.250000,6500,7,4,1,0.000000
0.250000,6550,1,9,0,0.430862
0.250000,6600,7,7,0,0.800447
0.250000,6650,0,0,0,0.157441
0.250000,6700,6,6,0,0.444792
0.250000,6750,4,3,0,0.321957
0.250000,6800,6,4,1,0.000000
0.250000,6850,6,6,0,0.649911
0.250000,6900,3,1,1,0.000000
0.250000,6950,8,0,0,0.215466
0.250000,7000,2,9,1,0.000000
0.250000,7050,8,9,0,0.671255
0.250000,7100,9,3,0,0.308379
0.250000,7150,3,3,0,0.062008
0.250000,7200,4,6,0,0.246685
0.250000,7250,8,8,0,0.753384
0.250000,7300,3,7,1,0.000000
0.250000,7350,9,9,0,0.800447
0.250000,7400,3,3,0,0.573359
0.250000,7450,1,1,0,0.800447
0.250000,7500,6,6,0,0.677633
0.250000,7550,4,4,0,0.608089
0.250000,7600,8,9,0,0.390397
0.250000,7650,2,2,0,0.375347
0.250000,7700,6,6,0,0.779312
0.250000,7750,3,6,0,0.039928
0.250000,7800,0,0,0,0.327064
0.250000,7850,0,8,0,0.286819
0.250000,7900,0,8,0,0.184319
0.250000,7950,9,9,0,0.764780
0.250000,8000,9,9,0,0.800447
0.250000,8050,7,7,0,0.645348
0.250000,8100,6,2,0,0.202862
0.250000,8150,6,6,0,0.800447
0.250000,8200,3,4,1,0.000000
0.250000,8250,6,5,0,0.011114
0.250000,8300,5,4,0,0.023128
0.250000,8350,9,9,0,0.629228
0.250000,8400,0,8,0,0.073534
0.250000,8450,9,2,0,0.143180
0.250000,8500,4,4,0,0.439673
0.250000,8550,1,1,0,0.359751
0.250000,8600,3,3,0,0.144145
0.250000,8650,2,2,1,0.000000
0.250000,8700,3,3,0,0.614078
0.250000,8750,9,9,0,0.800447
0.250000,8800,0,0,0,0.764780
0.250000,8850,1,9,0,0.668253
0.250000,8900,2,2,1,0.000000
0.250000,8950,9,9,0,0.582855
0.250000,9000,8,8,0,0.800447
0.250000,9050,5,3,0,0.645348
0.250000,9100,9,6,1,0.000000
0.250000,9150,6,6,0,0.779312
0.250000,9200,8,8,0,0.800447
0.250000,9250,3,3,0,0.121771
0.250000,9300,5,3,0,0.168755
0.250000,9350,6,6,0,0.372940
0.250000,9400,6,6,0,0.508762
0.250000,9450,6,3,1,0.000000
0.250000,9500,9,9,0,0.800447
0.250000,9550,6,6,0,0.541658
0.250000,9600,8,8,0,0.800447
0.250000,9650,8,8,0,0.800447
0.250000,9700,0,0,0,0.800447
0.250000,9750,2,2,0,0.000380
0.250000,9800,1,1,0,0.800447
0.250000,9850,7,4,0,0.393546
0.250000,9900,8,9,0,0.027563
0.250000,9950,3,6,0,0.110174
0.500000,0,3,3,0,0.295904
0.500000,50,9,9,0,1.558623
0.500000,100,4,5,0,0.188342
0.500000,150,8,8,0,0.256204
0.500000,200,5,5,0,1.064929
0.500000,250,5,7,0,0.230483
0.500000,300,6,6,0,0.385112
0.500000,350,9,9,0,0.365657
0.500000,400,9,9,0,1.076057
0.500000,450,2,9,1,0.000000
0.500000,500,4,6,0,0.415674
0.500000,550,5,5,0,0.518951
0.500000,600,8,8,0,0.814188
0.500000,650,3,3,0,0.998592
0.500000,700,7,7,0,1.144716
0.500000,750,9,9,0,1.558623
0.500000,800,7,7,0,1.506768
0.500000,850,7,3,0,0.124017
0.500000,900,2,6,1,0.000000
0.500000,950,3,7,0,0.034291
0.500000,1000,5,5,0,1.295196
0.500000,1050,3,5,0,0.668736
0.500000,1100,7,8,0,0.602664
0.500000,1150,2,4,0,0.224918
0.500000,1200,8,8,0,0.758056
0.500000,1250,7,7,0,0.716576
0.500000,1300,4,6,0,0.102652
0.500000,1350,4,6,0,0.118109
0.500000,1400,5,3,1,0.000000
0.500000,1450,2,2,1,0.000000
0.500000,1500,1,1,0,0.505136
0.500000,1550,6,6,1,0.000000
0.500000,1600,8,9,0,0.174711
0.500000,1650,5,5,0,1.600893
0.500000,1700,5,3,1,0.000000
0.500000,1750,8,8,0,0.608295
0.500000,1800,4,4,1,0.000000
0.500000,1850,1,3,0,0.557576
0.500000,1900,8,8,0,1.487782
0.500000,1950,5,3,0,0.164777
0.500000,2000,1,6,0,0.699535
0.500000,2050,8,8,0,1.411085
0.500000,2100,2,2,1,0.000000
0.500000,2150,9,9,0,0.746278
0.500000,2200,0,3,0,0.059255
0.500000,2250,7,7,1,0.000000
0.500000,2300,3,6,0,0.000141
0.500000,2350,3,6,1,0.000000
0.500000,2400,0,7,0,0.213463
0.500000,2450,1,1,0,0.704418
0.500000,2500,4,6,0,0.002497
0.500000,2550,4,4,0,0.263250
0.500000,2600,8,8,0,1.471397
0.500000,2650,5,9,0,0.234116
0.500000,2700,9,9,0,1.032237
0.500000,2750,5,5,0,0.775498
0.500000,2800,4,6,0,0.416212
0.500000,2850,5,5,0,1.529560
0.500000,2900,3,5,0,0.505562
0.500000,2950,1,1,0,0.520926
0.500000,3000,5,5,0,1.013180
0.500000,3050,0,3,1,0.000000
0.500000,3100,0,0,0,0.127235
0.500000,3150,1,9,0,0.261664
0.500000,3200,5,7,0,0.723196
0.500000,3250,2,6,0,0.669371
0.500000,3300,4,6,0,0.520487
0.500000,3350,8,8,0,0.870696
0.500000,3400,6,6,0,0.354030
0.500000,3450,9,1,1,0.000000
0.500000,3500,1,1,0,0.164249
0.500000,3550,0,6,1,0.000000
0.500000,3600,4,2,1,0.000000
0.500000,3650,0,2,1,0.000000
0.500000,3700,3,3,0,0.053625
0.500000,3750,9,8,0,0.125690
0.500000,3800,9,9,0,0.783029
0.500000,3850,9,9,0,1.163506
0.500000,3900,3,3,0,0.829518
0.500000,3950,8,8,0,0.423615
0.500000,4000,8,9,1,0.000000
0.500000,4050,3,6,0,0.010186
0.500000,4100,7,7,0,1.600893
0.500000,4150,6,6,0,1.265964
0.500000,4200,4,4,0,0.267156
0.500000,4250,1,6,1,0.000000
0.500000,4300,8,8,0,0.830044
0.500000,4350,4,4,0,0.232438
0.500000,4400,3,6,0,0.113498
0.500000,4450,0,3,1,0.000000
0.500000,4500,3,6,0,0.840213
0.500000,4550,9,6,0,0.250777
0.500000,4600,4,7,0,1.005772
0.500000,4650,6,6,1,0.000000
0.500000,4700,6,7,1,0.000000
0.500000,4750,7,9,0,0.141600
0.500000,4800,9,9,0,1.600893
0.500000,4850,1,9,0,0.248927
0.500000,4900,3,6,1,0.000000
0.500000,4950,2,2,0,1.118613
0.500000,5000,7,7,0,1.600893
0.500000,5050,3,6,0,0.222838
0.500000,5100,3,3,0,0.107749
0.500000,5150,4,6,0,0.340686
0.500000,5200,3,3,0,0.144722
0.500000,5250,7,7,0,0.757643
0.500000,5300,9,9,0,0.474831
0.500000,5350,9,9,0,1.202232
0.500000,5400,9,9,0,0.316728
0.500000,5450,5,3,0,0.284583
0.500000,5500,8,8,1,0.000000
0.500000,5550,5,6,1,0.000000
0.500000,5600,6,6,0,0.067529
0.500000,5650,5,7,1,0.000000
0.500000,5700,3,3,1,0.000000
0.500000,5750,6,6,0,0.308911
0.500000,5800,2,6,0,0.243965
0.500000,5850,6,2,0,0.100490
0.500000,5900,4,2,1,0.000000
0.500000,5950,9,9,0,0.190629
0.500000,6000,8,8,0,0.123631
0.500000,6050,2,6,0,0.283253
0.500000,6100,1,1,0,0.791210
0.500000,6150,1,9,0,0.553062
0.500000,6200,3,3,0,0.655349
0.500000,6250,4,6,1,0.000000
0.500000,6300,1,9,0,0.134596
0.500000,6350,0,0,0,1.529560
0.500000,6400,0,1,0,0.781240
0.500000,6450,0,5,1,0.000000
0.500000,6500,7,6,1,0.000000
0.500000,6550,1,1,0,0.481677
0.500000,6600,7,7,0,1.600893
0.500000,6650,0,0,0,1.047980
0.500000,6700,6,6,0,0.781240
0.500000,6750,4,6,0,0.128525
0.500000,6800,6,6,0,0.140171
0.500000,6850,6,6,0,0.701619
0.500000,6900,3,7,1,0.000000
0.500000,6950,8,0,0,0.764325
0.500000,7000,2,8,1,0.000000
0.500000,7050,8,9,0,1.005772
0.500000,7100,9,3,0,1.384527
0.500000,7150,3,3,0,0.159244
0.500000,7200,4,6,0,0.335293
0.500000,7250,8,8,0,0.483912
0.500000,7300,3,5,0,0.005721
0.500000,7350,9,9,0,1.600893
0.500000,7400,3,3,0,0.141990
0.500000,7450,1,1,0,1.558623
0.500000,7500,6,6,0,0.844053
0.500000,7550,4,4,0,0.322450
0.500000,7600,8,9,0,0.170199
0.500000,7650,2,2,0,0.215799
0.500000,7700,6,6,0,1.204938
0.500000,7750,3,4,1,0.000000
0.500000,7800,0,0,0,0.329470
0.500000,7850,0,8,0,0.227140
0.500000,7900,0,8,1,0.000000
0.500000,7950,9,9,0,1.471397
0.500000,8000,9,9,0,0.732616
0.500000,8050,7,5,0,0.161481
0.500000,8100,6,2,0,0.433145
0.500000,8150,6,6,0,1.558623
0.500000,8200,3,7,1,0.000000
0.500000,8250,6,6,1,0.000000
0.500000,8300,5,2,0,0.371966
0.500000,8350,9,9,0,0.715123
0.500000,8400,0,8,0,0.062763
0.500000,8450,9,1,1,0.000000
0.500000,8500,4,4,0,0.209488
0.500000,8550,1,1,0,0.817693
0.500000,8600,3,5,0,0.168212
0.500000,8650,2,2,0,0.196701
0.500000,8700,3,3,0,0.606678
0.500000,8750,9,9,0,1.210473
0.500000,8800,0,0,0,0.674169
0.500000,8850,1,1,0,0.245380
0.500000,8900,2,6,0,0.049876
0.500000,8950,9,9,0,1.097043
0.500000,9000,8,8,0,1.600893
0.500000,9050,5,3,0,1.196934
0.500000,9100,9,5,1,0.000000
0.500000,9150,6,6,0,1.369183
0.500000,9200,8,8,0,1.167938
0.500000,9250,3,3,1,0.000000
0.500000,9300,5,3,0,0.614831
0.500000,9350,6,6,0,0.372800
0.500000,9400,6,6,0,1.025327
0.500000,9450,6,3,1,0.000000
0.500000,9500,9,9,0,0.286954
0.500000,9550,6,6,0,0.963887
0.500000,9600,8,8,0,0.890238
0.500000,9650,8,8,0,1.506768
0.500000,9700,0,0,0,0.438905
0.500000,9750,2,2,0,0.227140
0.500000,9800,1,1,0,1.600893
0.500000,9850,7,2,0,0.207302
0.500000,9900,8,9,0,0.011179
0.500000,9950,3,6,1,0.000000
