usable,sum,dealer,qhit,qstick,opt,tabq,published
0,17,7,-0.4835,-0.1068,S,S,H
0,17,8,-0.5060,-0.3820,S,S,H
0,17,9,-0.5537,-0.4232,S,S,H
0,17,10,-0.6105,-0.4644,S,S,H
0,18,1,-0.7178,-0.3771,S,S,S
0,18,2,-0.6224,0.1217,S,S,S
0,18,3,-0.6200,0.1483,S,S,S
0,18,4,-0.6175,0.1759,S,S,S
0,18,5,-0.6153,0.1996,S,S,S
0,18,6,-0.6075,0.2834,S,S,S
0,18,7,-0.5911,0.3996,S,S,S
0,18,8,-0.5911,0.1060,S,S,S
0,18,9,-0.6165,-0.1832,S,S,S
0,18,10,-0.6689,-0.2415,S,S,S
0,19,1,-0.7858,-0.1155,S,S,S
0,19,2,-0.7291,0.3863,S,S,S
0,19,3,-0.7280,0.4044,S,S,S
0,19,4,-0.7269,0.4232,S,S,S
0,19,5,-0.7260,0.4395,S,S,S
0,19,6,-0.7226,0.4960,S,S,S
0,19,7,-0.7154,0.6160,S,S,S
0,19,8,-0.7137,0.5939,S,S,S
0,19,9,-0.7156,0.2876,S,S,S
0,19,10,-0.7443,-0.0187,S,S,S
0,20,1,-0.8740,0.1461,S,S,S
0,20,2,-0.8552,0.6400,S,S,S
0,20,3,-0.8550,0.6503,S,S,S
0,20,4,-0.8547,0.6610,S,S,S
0,20,5,-0.8545,0.6704,S,S,S
0,20,6,-0.8536,0.7040,S,S,S
0,20,7,-0.8519,0.7732,S,S,S
0,20,8,-0.8515,0.7918,S,S,S
0,20,9,-0.8508,0.7584,S,S,S
0,20,10,-0.8547,0.4350,S,S,S
0,21,1,-1.0000,0.6384,S,S,S
0,21,2,-1.0000,0.8820,S,S,S
0,21,3,-1.0000,0.8853,S,S,S
0,21,4,-1.0000,0.8888,S,S,S
0,21,5,-1.0000,0.8918,S,S,S
0,21,6,-1.0000,0.9028,S,S,S
0,21,7,-1.0000,0.9259,S,S,S
0,21,8,-1.0000,0.9306,S,S,S
0,21,9,-1.0000,0.9392,S,S,S
0,21,10,-1.0000,0.8886,S,S,S
1,12,1,-0.2680,-0.7694,H,H,H
1,12,2,0.0818,-0.2928,H,H,S
1,12,3,0.1035,-0.2523,H,H,H
1,12,4,0.1266,-0.2111,H,H,H
1,12,5,0.1565,-0.1672,H,H,H
1,12,6,0.1860,-0.1537,H,H,H
1,12,7,0.1655,-0.4754,H,H,H
1,12,8,0.0951,-0.5105,H,H,H
1,12,9,0.0001,-0.5431,H,H,H
1,12,10,-0.1281,-0.5758,H,H,H
1,13,1,-0.2958,-0.7694,H,H,H
1,13,2,0.0466,-0.2928,H,H,S
1,13,3,0.0741,-0.2523,H,H,S
1,13,4,0.1025,-0.2111,H,H,H
1,13,5,0.1334,-0.1672,H,H,H
1,13,6,0.1617,-0.1537,H,H,H
1,13,7,0.1224,-0.4754,H,H,H
1,13,8,0.0541,-0.5105,H,H,H
1,13,9,-0.0377,-0.5431,H,H,H
1,13,10,-0.1608,-0.5758,H,H,H
1,14,1,-0.3232,-0.7694,H,H,H
1,14,2,0.0224,-0.2928,H,H,S
1,14,3,0.0508,-0.2523,H,H,H
1,14,4,0.0801,-0.2111,H,H,H
1,14,5,0.1119,-0.1672,H,H,H
1,14,6,0.1392,-0.1537,H,H,H
1,14,7,0.0795,-0.4754,H,H,H
1,14,8,0.0133,-0.5105,H,H,H
1,14,9,-0.0752,-0.5431,H,H,H
1,14,10,-0.1933,-0.5758,H,H,H
1,15,1,-0.3504,-0.7694,H,H,H
1,15,2,-0.0001,-0.2928,H,H,S
1,15,3,0.0292,-0.2523,H,H,S
1,15,4,0.0593,-0.2111,H,H,H
1,15,5,0.0920,-0.1672,H,H,H
1,15,6,0.1182,-0.1537,H,H,H
1,15,7,0.0370,-0.4754,H,H,H
1,15,8,-0.0271,-0.5105,H,H,H
1,15,9,-0.1122,-0.5431,H,H,H
1,15,10,-0.2254,-0.5758,H,H,H
1,16,1,-0.3771,-0.7694,H,H,H
1,16,2,-0.0210,-0.2928,H,H,S
1,16,3,0.0091,-0.2523,H,H,S
1,16,4,0.0400,-0.2111,H,H,S
1,16,5,0.0734,-0.1672,H,H,S
1,16,6,0.0988,-0.1537,H,H,S
1,16,7,-0.0049,-0.4754,H,H,H
1,16,8,-0.0668,-0.5105,H,H,H
1,16,9,-0.1486,-0.5431,H,H,H
1,16,10,-0.2571,-0.5758,H,H,H
1,17,1,-0.3951,-0.6386,H,H,H
1,17,2,-0.0005,-0.1530,H,H,S
1,17,3,0.0290,-0.1172,H,H,S
1,17,4,0.0593,-0.0806,H,H,S
1,17,5,0.0912,-0.0449,H,H,S
1,17,6,0.1281,0.0117,H,H,H
1,17,7,0.0538,-0.1068,H,H,H
1,17,8,-0.0729,-0.3820,H,H,H
1,17,9,-0.1498,-0.4232,H,H,H
1,17,10,-0.2494,-0.4644,H,H,H
1,18,1,-0.3377,-0.3771,H,S,S
1,18,2,0.0629,0.1217,S,S,S
1,18,3,0.0902,0.1483,S,H,S
1,18,4,0.1185,0.1759,S,H,S
1,18,5,0.1476,0.1996,S,H,S
1,18,6,0.1908,0.2834,S,S,S
1,18,7,0.1707,0.3996,S,S,S
1,18,8,0.0397,0.1060,S,S,S
1,18,9,-0.1007,-0.1832,H,H,S
1,18,10,-0.2011,-0.2415,H,H,S
1,19,1,-0.2774,-0.1155,S,S,S
1,19,2,0.1240,0.3863,S,S,S
1,19,3,0.1493,0.4044,S,S,S
1,19,4,0.1756,0.4232,S,S,S
1,19,5,0.2030,0.4395,S,S,S
1,19,6,0.2398,0.4960,S,S,S
1,19,7,0.2206,0.6160,S,S,S
1,19,8,0.1523,0.5939,S,S,S
1,19,9,0.0079,0.2876,S,S,S
1,19,10,-0.1497,-0.0187,S,S,S
1,20,1,-0.2170,0.1461,S,S,S
1,20,2,0.1825,0.6400,S,S,S
1,20,3,0.2061,0.6503,S,S,S
1,20,4,0.2305,0.6610,S,S,S
1,20,5,0.2563,0.6704,S,S,S
1,20,6,0.2878,0.7040,S,S,S
1,20,7,0.2569,0.7732,S,S,S
1,20,8,0.1980,0.7918,S,S,S
1,20,9,0.1165,0.7584,S,S,S
1,20,10,-0.0450,0.4350,S,S,S
1,21,1,-0.1034,0.6384,S,S,S
1,21,2,0.2384,0.8820,S,S,S
1,21,3,0.2603,0.8853,S,S,S
1,21,4,0.2830,0.8888,S,S,S
1,21,5,0.3073,0.8918,S,S,S
1,21,6,0.3337,0.9028,S,S,S
1,21,7,0.2921,0.9259,S,S,S
1,21,8,0.2300,0.9306,S,S,S
1,21,9,0.1583,0.9392,S,S,S
1,21,10,0.0597,0.8886,S,S,S
